Observation Time (UTC),Penetration (mV/m),Quiet (mV/m),Quiet plus Penetration (mV/m)
2026-03-09 14:15:00,-0.024642001874987444,0.16808009416957023,0.1434380922945828
2026-03-09 14:20:00,-0.008616865015170143,0.16278578398419116,0.15416891896902102
2026-03-09 14:25:00,0.0077245038588758565,0.15805789584091015,0.165782399699786
2026-03-09 14:30:00,0.017785561797399898,0.15388319492003047,0.17166875671743037
2026-03-09 14:35:00,0.01787350660088842,0.15024843940489496,0.1681219460057834
2026-03-09 14:40:00,0.012624065288786896,0.14714038048188585,0.15976444577067275
2026-03-09 14:45:00,0.003974090649908486,0.14454576234042507,0.14851985299033355
2026-03-09 14:50:00,-0.004116504982776674,0.1424513221729737,0.13833481719019702
2026-03-09 14:55:00,-0.0016858580307289863,0.1408437901750327,0.13915793214430372
2026-03-09 15:00:00,0.010949975733562047,0.13970988954514238,0.15065986527870442
2026-03-09 15:05:00,0.015869096329434576,0.1390363364848826,0.15490543281431718
2026-03-09 15:10:00,0.0002842598568780917,0.13880984019887252,0.13909410005575062
2026-03-09 15:15:00,-0.03416987172981398,0.13901710289477118,0.1048472311649572
2026-03-09 15:20:00,-0.0701557733699193,0.13964481978327672,0.06948904641335743
2026-03-09 15:25:00,-0.08597280225954627,0.14067967907812723,0.054706876818580955
2026-03-09 15:30:00,-0.08115309134339131,0.14210836199609994,0.06095527065270863
2026-03-09 15:35:00,-0.06893909589722909,0.14391754275701177,0.07497844685978268
2026-03-09 15:40:00,-0.039870076290595566,0.1460938885837191,0.10622381229312354
2026-03-09 15:45:00,-0.015736009384649516,0.1486240597021178,0.1328880503174683
2026-03-09 15:50:00,0.015257093830058358,0.15149470934114329,0.16675180317120164
2026-03-09 15:55:00,0.050722842837517525,0.15469248373277042,0.20541532657028794
2026-03-09 16:00:00,0.06319418266790748,0.15820402211201365,0.22139820477992112
2026-03-09 16:05:00,0.0607488786946147,0.1620159567169269,0.2227648354115416
2026-03-09 16:10:00,0.04790517879845713,0.16611491278860355,0.21402009158706067
2026-03-09 16:15:00,0.03320736468953898,0.17048750857117653,0.2036948732607155
2026-03-09 16:20:00,0.010476208721651658,0.17512035531181827,0.18559656403346994
2026-03-09 16:25:00,-0.02431642981416672,0.18000005726074075,0.15568362744657405
2026-03-09 16:30:00,-0.07136993633018955,0.18511321167119563,0.11374327534100608
2026-03-09 16:35:00,-0.10428253327835578,0.19044640879947358,0.0861638755211178
2026-03-09 16:40:00,-0.10366341593033343,0.19598623190490527,0.09232281597457184
