m, real, imag
664,0.137636,2.43464
665,0.0750032,2.55109
666,0.00466417,2.68087
667,-0.0748607,2.82653
668,-0.165454,2.99131
669,-0.26955,3.17941
670,-0.39035,3.39633
671,-0.532154,3.64948
672,-0.700876,3.94903
673,-0.904875,4.30939
674,-1.15637,4.75157
675,-1.47395,5.30758
676,-1.88736,6.02862
677,-2.44734,7.00202
678,-3.2481,8.38996
679,-4.48664,10.5315
680,-6.65531,14.2741
681,-11.4275,22.4981
682,-30.5041,55.3434
683,65.1897,-109.358
684,17.2529,-26.8374
685,10.422,-15.0694
686,7.692,-10.3602
687,6.22335,-7.82182
688,5.30643,-6.233
689,4.67986,-5.14385
690,4.22486,-4.34991
691,3.87968,-3.74488
692,3.60902,-3.26801
693,3.39125,-2.88207
694,3.21239,-2.56297
695,3.06298,-2.29445
696,2.93639,-2.0651
697,2.82786,-1.86671
698,2.73387,-1.69321
699,2.65175,-1.54001
700,2.57945,-1.4036
701,2.51537,-1.2812
702,2.45824,-1.17064
703,2.40705,-1.07015
704,2.36097,-0.978315
705,2.31931,-0.893951
706,2.28151,-0.81609
707,2.24711,-0.743919
708,2.2157,-0.676755
709,2.18696,-0.614015
710,2.16059,-0.555205
711,2.13635,-0.499897
712,2.11402,-0.447723
713,2.09343,-0.398364
714,2.07442,-0.351539
715,2.05683,-0.307003
716,2.04056,-0.264541
717,2.02549,-0.22396
718,2.01152,-0.185091
719,1.99857,-0.147782
720,1.98657,-0.111898
721,1.97544,-0.0773176
722,1.96512,-0.0439303
723,1.95557,-0.0116374
724,1.94672,0.0196509
725,1.93854,0.0500163
726,1.93098,0.0795332
727,1.92402,0.10827
728,1.91761,0.136288
729,1.91172,0.163646
730,1.90634,0.190395
731,1.90143,0.216586
732,1.89697,0.242263
733,1.89294,0.267467
734,1.88933,0.292239
735,1.88611,0.316615
736,1.88327,0.340629
737,1.8808,0.364312
738,1.87868,0.387695
739,1.8769,0.410807
740,1.87545,0.433674
741,1.87433,0.456321
742,1.87351,0.478774
743,1.873,0.501054
744,1.87278,0.523184
745,1.87286,0.545186
746,1.87322,0.567079
747,1.87386,0.588882
748,1.87478,0.610616
749,1.87596,0.632298
750,1.87742,0.653946
751,1.87914,0.675577
752,1.88112,0.697209
753,1.88336,0.718857
754,1.88587,0.740539
755,1.88863,0.762271
756,1.89165,0.784068
757,1.89493,0.805946
758,1.89847,0.827922
759,1.90227,0.850011
760,1.90634,0.872228
761,1.91066,0.89459
762,1.91525,0.917112
763,1.92011,0.939811
764,1.92524,0.962703
765,1.93065,0.985804
766,1.93633,1.00913
767,1.9423,1.0327
768,1.94855,1.05653
769,1.9551,1.08064
770,1.96195,1.10505
771,1.9691,1.12977
772,1.97656,1.15482
773,1.98435,1.18023
774,1.99246,1.20602
775,2.0009,1.2322
776,2.0097,1.2588
777,2.01884,1.28585
778,2.02835,1.31336
779,2.03824,1.34136
780,2.04852,1.36988
781,2.0592,1.39894
782,2.07029,1.42857
783,2.08181,1.45881
784,2.09378,1.48968
785,2.10621,1.52122
786,2.11911,1.55347
787,2.13252,1.58645
788,2.14644,1.62021
789,2.1609,1.65479
790,2.17592,1.69023
791,2.19153,1.72658
792,2.20775,1.76389
793,2.22462,1.80221
794,2.24215,1.84159
795,2.26038,1.88209
796,2.27936,1.92379
797,2.2991,1.96673
798,2.31966,2.011
799,2.34108,2.05668
800,2.3634,2.10384
801,2.38667,2.15257
802,2.41095,2.20298
803,2.43628,2.25515
804,2.46275,2.30922
805,2.49041,2.36528
806,2.51934,2.42349
807,2.54961,2.48397
808,2.58132,2.54688
809,2.61456,2.61239
810,2.64944,2.68068
811,2.68606,2.75196
812,2.72455,2.82644
813,2.76506,2.90436
814,2.80773,2.98599
815,2.85273,3.07162
816,2.90024,3.16159
817,2.95048,3.25624
818,3.00367,3.35598
819,3.06006,3.46126
820,3.11994,3.57258
821,3.18365,3.6905
822,3.25153,3.81565
823,3.324,3.94876
824,3.40153,4.09065
825,3.48466,4.24224
826,3.57399,4.4046
827,3.67023,4.57896
828,3.77419,4.76675
829,3.88684,4.96963
830,4.00928,5.18953
831,4.14282,5.42875
832,4.28902,5.69001
833,4.44976,5.97657
834,4.62728,6.29234
835,4.82433,6.64212
836,5.04429,7.03179
837,5.29136,7.46868
838,5.57084,7.96204
839,5.88952,8.52369
840,6.25621,9.169
841,6.68259,9.91831
842,7.18446,10.7992
843,7.78371,11.8497
844,8.51167,13.1246
845,9.41464,14.7045
846,10.5642,16.7142
847,12.0772,19.3572
848,14.1579,22.9899
849,17.1994,28.297
850,22.0661,36.7855
851,31.1038,52.5439
852,53.6913,91.919
853,211.46,366.912
854,-104.696,-184.135
855,-41.2696,-73.5775
856,-25.4293,-45.9625
857,-18.2319,-33.4118
858,-14.1201,-26.2394
859,-11.4603,-21.5976
860,-9.59884,-18.3474
861,-8.22338,-15.9443
862,-7.16564,-14.095
863,-6.32701,-12.6275
864,-5.64586,-11.4346
865,-5.0817,-10.4456
866,-4.60681,-9.61225
867,-4.2016,-8.90032
868,-3.8518,-8.285
869,-3.54682,-7.74778
870,-3.27858,-7.27462
871,-3.04084,-6.85463
872,-2.8287,-6.47927
873,-2.63825,-6.14172
874,-2.46635,-5.83651
875,-2.31042,-5.55915
876,-2.16835,-5.30596
877,-2.03839,-5.07387
878,-1.91907,-4.86032
879,-1.80913,-4.66314
880,-1.70752,-4.48049
881,-1.61335,-4.31079
882,-1.52582,-4.15269
883,-1.44428,-4.00502
884,-1.36812,-3.86675
885,-1.29686,-3.73699
886,-1.23002,-3.61497
887,-1.16723,-3.49998
888,-1.10812,-3.39143
889,-1.0524,-3.28878
890,-0.999778,-3.19153
891,-0.950013,-3.09926
892,-0.902882,-3.01158
893,-0.858188,-2.92815
894,-0.815749,-2.84865
895,-0.775404,-2.7728
896,-0.737005,-2.70033
897,-0.70042,-2.63103
898,-0.665526,-2.56467
899,-0.632212,-2.50106
900,-0.600377,-2.44002
901,-0.569928,-2.3814
902,-0.54078,-2.32504
903,-0.512854,-2.2708
904,-0.486079,-2.21857
905,-0.460387,-2.16822
906,-0.435717,-2.11964
907,-0.412012,-2.07274
908,-0.389219,-2.02742
909,-0.36729,-1.98361
910,-0.346179,-1.9412
911,-0.325843,-1.90015
912,-0.306243,-1.86036
913,-0.287342,-1.82179
914,-0.269107,-1.78437
915,-0.251504,-1.74804
916,-0.234504,-1.71275
